Time,Condition,Response,Clicktime
187,arrayAverageTD_B.png,,
188,arrayAverageTD_B.png,,
189,arrayAverageTD_B.png,,
190,arrayAverageTD_B.png,,
191,arrayAverageTD_B.png,,
192,arrayAverageTD_B.png,,
193,arrayAverageTD_B.png,,
194,arrayAverageTD_B.png,,
195,arrayAverageTD_B.png,,
196,arrayAverageTD_B.png,,
197,arrayAverageTD_B.png,,
198,arrayAverageTD_B.png,,
199,arrayAverageTD_B.png,,
200,arrayAverageTD_B.png,,
201,arrayAverageTD_B.png,,
202,arrayAverageTD_B.png,,
203,arrayAverageTD_B.png,,
204,arrayAverageTD_B.png,,
205,arrayAverageTD_B.png,,
206,arrayAverageTD_B.png,,
207,arrayAverageTD_B.png,,
208,arrayAverageTD_B.png,,
209,arrayAverageTD_B.png,,
210,arrayAverageTD_B.png,,
211,arrayAverageTD_B.png,,
212,arrayAverageTD_B.png,,
213,arrayAverageTD_B.png,,
214,arrayAverageTD_B.png,,
215,arrayAverageTD_B.png,,
216,arrayAverageTD_B.png,,
217,arrayAverageTD_B.png,,
218,arrayAverageTD_B.png,,
219,arrayAverageTD_B.png,,
220,arrayAverageTD_B.png,,
221,arrayAverageTD_B.png,,
222,arrayAverageTD_B.png,,
223,arrayAverageTD_B.png,,
224,arrayAverageTD_B.png,,
225,arrayAverageTD_B.png,,
226,arrayAverageTD_B.png,,
227,arrayAverageTD_B.png,,
228,arrayAverageTD_B.png,,
229,arrayAverageTD_B.png,,
230,arrayAverageTD_B.png,,
231,arrayAverageTD_B.png,,
232,arrayAverageTD_B.png,,
233,arrayAverageTD_B.png,,
234,arrayAverageTD_B.png,,
235,arrayAverageTD_B.png,,
236,arrayAverageTD_B.png,,
237,arrayAverageTD_B.png,,
238,arrayAverageTD_B.png,,
239,arrayAverageTD_B.png,,
240,arrayAverageTD_B.png,,
241,arrayAverageTD_B.png,,
242,arrayAverageTD_B.png,,
243,arrayAverageTD_B.png,,
244,arrayAverageTD_B.png,,
245,arrayAverageTD_B.png,,
246,arrayAverageTD_B.png,,
247,arrayAverageTD_B.png,,
248,arrayAverageTD_B.png,,
249,arrayAverageTD_B.png,,
250,arrayAverageTD_B.png,,
251,arrayAverageTD_B.png,,
252,arrayAverageTD_B.png,,
253,arrayAverageTD_B.png,,
254,arrayAverageTD_B.png,,
255,arrayAverageTD_B.png,,
256,arrayAverageTD_B.png,,
257,arrayAverageTD_B.png,,
258,arrayAverageTD_B.png,,
259,arrayAverageTD_B.png,,
260,arrayAverageTD_B.png,,
261,arrayAverageTD_B.png,,
262,arrayAverageTD_B.png,,
263,arrayAverageTD_B.png,,
264,arrayAverageTD_B.png,,
265,arrayAverageTD_B.png,,
266,arrayAverageTD_B.png,,
267,arrayAverageTD_B.png,,
268,arrayAverageTD_B.png,,
269,arrayAverageTD_B.png,,
270,arrayAverageTD_B.png,,
271,arrayAverageTD_B.png,,
272,arrayAverageTD_B.png,,
273,arrayAverageTD_B.png,,
274,arrayAverageTD_B.png,,
275,arrayAverageTD_B.png,,
276,arrayAverageTD_B.png,,
277,arrayAverageTD_B.png,,
278,arrayAverageTD_B.png,,
279,arrayAverageTD_B.png,,
280,arrayAverageTD_B.png,,
281,arrayAverageTD_B.png,,
282,arrayAverageTD_B.png,,
283,arrayAverageTD_B.png,,
284,arrayAverageTD_B.png,,
285,arrayAverageTD_B.png,,
286,arrayAverageTD_B.png,,
287,arrayAverageTD_B.png,,
288,arrayAverageTD_B.png,,
289,arrayAverageTD_B.png,,
290,arrayAverageTD_B.png,,
291,arrayAverageTD_B.png,,
292,arrayAverageTD_B.png,,
293,arrayAverageTD_B.png,,
294,arrayAverageTD_B.png,,
295,arrayAverageTD_B.png,,
296,arrayAverageTD_B.png,,
297,arrayAverageTD_B.png,,
298,arrayAverageTD_B.png,,
299,arrayAverageTD_B.png,,
300,arrayAverageTD_B.png,,
301,arrayAverageTD_B.png,,
302,arrayAverageTD_B.png,,
303,arrayAverageTD_B.png,,
304,arrayAverageTD_B.png,,
305,arrayAverageTD_B.png,,
306,arrayAverageTD_B.png,,
307,arrayAverageTD_B.png,,
308,arrayAverageTD_B.png,,
309,arrayAverageTD_B.png,,
310,arrayAverageTD_B.png,,
311,arrayAverageTD_B.png,,
312,arrayAverageTD_B.png,,
313,arrayAverageTD_B.png,,
314,arrayAverageTD_B.png,,
315,arrayAverageTD_B.png,,
316,arrayAverageTD_B.png,,
317,arrayAverageTD_B.png,,
318,arrayAverageTD_B.png,,
319,arrayAverageTD_B.png,,
320,arrayAverageTD_B.png,,
321,arrayAverageTD_B.png,,
322,arrayAverageTD_B.png,,
323,arrayAverageTD_B.png,,
324,arrayAverageTD_B.png,,
325,arrayAverageTD_B.png,,
326,arrayAverageTD_B.png,,
327,arrayAverageTD_B.png,,
328,arrayAverageTD_B.png,,
329,arrayAverageTD_B.png,,
330,arrayAverageTD_B.png,,
331,arrayAverageTD_B.png,,
332,arrayAverageTD_B.png,,
333,arrayAverageTD_B.png,,
334,arrayAverageTD_B.png,,
335,arrayAverageTD_B.png,,
336,arrayAverageTD_B.png,,
337,arrayAverageTD_B.png,,
338,arrayAverageTD_B.png,,
339,arrayAverageTD_B.png,,
340,arrayAverageTD_B.png,,
341,arrayAverageTD_B.png,,
342,arrayAverageTD_B.png,,
343,arrayAverageTD_B.png,,
344,arrayAverageTD_B.png,,
345,arrayAverageTD_B.png,,
346,arrayAverageTD_B.png,,
347,arrayAverageTD_B.png,,
348,arrayAverageTD_B.png,,
349,arrayAverageTD_B.png,,
350,arrayAverageTD_B.png,,
351,arrayAverageTD_B.png,,
352,arrayAverageTD_B.png,,
353,arrayAverageTD_B.png,,
354,arrayAverageTD_B.png,,
355,arrayAverageTD_B.png,,
356,arrayAverageTD_B.png,,
357,arrayAverageTD_B.png,,
358,arrayAverageTD_B.png,,
359,arrayAverageTD_B.png,,
360,arrayAverageTD_B.png,,
361,arrayAverageTD_B.png,,
362,arrayAverageTD_B.png,,
363,arrayAverageTD_B.png,,
364,arrayAverageTD_B.png,,
365,arrayAverageTD_B.png,,
366,arrayAverageTD_B.png,,
367,arrayAverageTD_B.png,,
368,arrayAverageTD_B.png,,
369,arrayAverageTD_B.png,,
370,arrayAverageTD_B.png,,
371,arrayAverageTD_B.png,,
372,arrayAverageTD_B.png,,
373,arrayAverageTD_B.png,,
374,arrayAverageTD_B.png,,
375,arrayAverageTD_B.png,,
376,arrayAverageTD_B.png,,
377,arrayAverageTD_B.png,,
378,arrayAverageTD_B.png,,
379,arrayAverageTD_B.png,,
380,arrayAverageTD_B.png,,
381,arrayAverageTD_B.png,,
382,arrayAverageTD_B.png,,
383,arrayAverageTD_B.png,,
384,arrayAverageTD_B.png,,
385,arrayAverageTD_B.png,,
386,arrayAverageTD_B.png,,
